split,seed,corruption_rate,imputer,model,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
60/40,45,0.2,median,OVO_GD,0.853189246178176,0.8355874288289652,1.2488091999985045,0.20524440000008326,1105.935546875
60/40,45,0.2,median,Softmax_GD,0.838165524512388,0.8151452337428572,0.6298072000026878,0.0008335000020451844,3147.2734375
60/40,45,0.2,median,LDA,0.8626779124934106,0.8580085436928961,0.003618799997639144,0.6426090999993903,526.203125
60/40,45,0.2,median,QDA,0.8621507643647865,0.8742323190079503,0.006032999997842126,0.756054800000129,537.26953125
60/40,45,0.2,median,GNB,0.878492356352135,0.883012398489779,0.007458800002495991,0.0052904999974998645,1194.7265625
60/40,45,0.2,knn,OVR_GD,0.8497627833421192,0.769001671387098,1.2680910999988555,0.0019439999996393453,1339.484375
60/40,45,0.2,knn,OVO_GD,0.8919346336320506,0.8908031874914383,1.7424271999989287,0.24510260000170092,1105.935546875
60/40,45,0.2,knn,Softmax_GD,0.8779652082235108,0.8729295325423365,0.7831435000007332,0.0009605000013834797,3147.2734375
60/40,45,0.2,knn,LDA,0.8943068002108593,0.9105855760209315,0.0038557999978365842,0.604592200001207,526.203125
60/40,45,0.2,knn,QDA,0.8719030047443331,0.8953726792308085,0.004316099999414291,0.5125658000033582,537.26953125
60/40,45,0.2,knn,GNB,0.8929889298892989,0.9005540838031285,0.004327700000430923,0.0021268999989842996,1190.0078125
60/40,45,0.3,mean,OVR_GD,0.8023194517659462,0.7112510249878318,1.2542071999996551,0.004950999998982297,1339.484375
60/40,45,0.3,mean,OVO_GD,0.8313125988402741,0.8072632888217323,1.6767804999981308,0.2547435000014957,1105.935546875
60/40,45,0.3,mean,Softmax_GD,0.8144438587243016,0.7874719817500705,0.80471789999865,0.0009862999977485742,3147.8984375
60/40,45,0.3,mean,LDA,0.8365840801265155,0.8248931996353619,0.004134399998292793,0.6315402000000176,526.203125
60/40,45,0.3,mean,QDA,0.878492356352135,0.8833770174597613,0.00517990000298596,0.4767332000010356,537.26953125
60/40,45,0.3,mean,GNB,0.8708487084870848,0.872176663636872,0.00547990000268328,0.003541199999745004,1194.7265625
60/40,45,0.3,median,OVR_GD,0.7999472851871375,0.7083513581635924,1.3158835999965959,0.002063699997961521,1339.484375
60/40,45,0.3,median,OVO_GD,0.827358987875593,0.801986365964597,1.8405683999990288,0.26248409999971045,1105.935546875
60/40,45,0.3,median,Softmax_GD,0.8131259884027412,0.7845232186354396,0.8328294999992067,0.0009375999979965854,3147.2734375
60/40,45,0.3,median,LDA,0.8336847654190828,0.8197016601117992,0.003653799998573959,0.6313623999994888,526.203125
60/40,45,0.3,median,QDA,0.878492356352135,0.883564984650806,0.004905400001007365,0.540295500002685,537.26953125
60/40,45,0.3,median,GNB,0.8703215603584608,0.8708378926194268,0.004571500001475215,0.002841699999407865,1194.7265625
60/40,45,0.3,knn,OVR_GD,0.8434370057986295,0.7602686784245478,1.239453099999082,0.0023443999998562504,1339.484375
60/40,45,0.3,knn,OVO_GD,0.8882445967316817,0.8875830666900504,1.8280180000001565,0.25755130000106874,1105.935546875
60/40,45,0.3,knn,Softmax_GD,0.8734844491302056,0.8683984822457445,0.847076999998535,0.0010204999998677522,3147.2734375
60/40,45,0.3,knn,LDA,0.8964153927253559,0.9067152140404146,0.004459899999346817,0.6532599000020127,526.203125
60/40,45,0.3,knn,QDA,0.8468634686346863,0.8702818803561315,0.004704599999968195,0.5293154999999388,537.26953125
60/40,45,0.3,knn,GNB,0.8832366895097522,0.8829082352710061,0.004835399999137735,0.0029899000001023524,1190.0078125
60/40,46,0.1,mean,OVR_GD,0.8397469688982604,0.7512234784749386,1.205060100000992,0.001759999999194406,1339.484375
60/40,46,0.1,mean,OVO_GD,0.871375856615709,0.8590138883669721,1.629477800001041,0.24918840000100317,1105.935546875
60/40,46,0.1,mean,Softmax_GD,0.8576700052714813,0.8397629290909976,0.7415034000005107,0.0009191000026476104,3147.2734375
60/40,46,0.1,mean,LDA,0.8837638376383764,0.8853774669070686,0.003955800002586329,0.5677606999997806,526.203125
60/40,46,0.1,mean,QDA,0.7930943595150237,0.8237464478448152,0.004077099998539779,0.4713060000030964,537.26953125
60/40,46,0.1,mean,GNB,0.8850817079599368,0.888228340631585,0.004715999999461928,0.0028768999982276,1194.7265625
60/40,46,0.1,median,OVR_GD,0.8389562467053242,0.7489302548690747,1.2049301999977615,0.0017650999980105553,1339.484375
